Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Time,st_Road_Class,st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,nd_Road_Class,nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards
2.01801E+12,528730,172320,1,3,2,1,03/01/2018,4,1,1,6,20,3,4,2,2,0,0,4,1,1,0,0
2.01801E+12,534350,174880,1,3,1,1,03/01/2018,4,1,1,3,20,6,4,2,2,0,0,1,1,1,0,0
2.01801E+12,511010,180860,1,3,4,1,03/01/2018,4,1,1,3,40,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,533030,179010,1,3,1,1,03/01/2018,4,1,1,1,30,1,2,2,2,0,5,1,1,2,3,0
2.01801E+12,534870,173130,1,3,2,1,02/01/2018,3,1,1,6,30,-1,2,2,2,-1,-1,4,1,1,0,0
2.01801E+12,523950,169140,1,2,1,1,03/01/2018,4,1,1,3,30,3,2,2,2,0,4,4,4,1,0,0
2.01801E+12,531810,186470,1,3,1,1,03/01/2018,4,1,1,6,20,6,2,2,2,0,0,4,1,1,0,0
2.01801E+12,531820,187180,1,3,2,2,03/01/2018,4,1,1,6,30,3,2,2,2,0,5,4,1,1,0,0
2.01801E+12,537430,170310,1,3,2,1,03/01/2018,4,1,1,1,20,1,4,2,2,-1,1,4,1,1,-1,0
2.01801E+12,531010,190390,1,3,1,1,04/01/2018,5,1,1,6,20,6,2,2,2,0,4,4,1,1,0,0
2.01801E+12,533620,189470,1,3,2,1,03/01/2018,4,1,1,6,20,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,533380,170130,1,3,2,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,4,1,1,0,0
2.01801E+12,532420,177790,1,2,2,1,04/01/2018,5,1,1,3,20,9,4,2,2,0,0,4,2,2,0,0
2.01801E+12,530350,180040,1,3,1,2,03/01/2018,4,1,1,2,30,0,0,2,2,0,5,4,4,1,0,0
2.01801E+12,515360,178260,1,2,2,1,04/01/2018,5,1,1,6,40,0,0,2,2,0,0,4,2,2,0,0
2.01801E+12,530160,183000,1,3,1,1,01/01/2018,2,1,1,2,20,0,0,2,2,-1,-1,4,9,-1,-1,-1
2.01801E+12,541620,180160,1,3,2,1,04/01/2018,5,1,1,3,30,1,4,2,2,0,0,4,2,2,0,0
2.01801E+12,529440,180450,1,3,1,1,04/01/2018,5,1,1,6,30,6,4,2,2,0,1,1,1,2,0,0
2.01801E+12,533740,196460,1,3,3,1,04/01/2018,5,1,1,6,30,0,0,2,2,0,4,1,1,2,0,0
2.01801E+12,533410,189020,1,3,2,1,04/01/2018,5,1,1,6,20,9,1,2,2,2,1,1,2,2,0,0
2.01801E+12,524340,174940,1,3,2,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,4,2,2,0,0
2.01801E+12,528460,179110,1,2,2,2,04/01/2018,5,1,1,6,30,6,4,2,2,2,5,4,2,2,1,0
2.01801E+12,512950,174800,1,3,2,1,02/01/2018,3,1,1,6,30,6,-1,2,2,0,1,1,2,2,0,0
2.01801E+12,529300,169410,1,3,2,1,04/01/2018,5,1,1,6,30,3,4,2,2,-1,1,4,2,2,0,0
2.01801E+12,524070,191290,1,3,1,1,04/01/2018,5,1,1,6,30,9,4,2,2,0,0,1,1,2,0,0
2.01801E+12,545810,178420,1,3,2,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,1,2,2,0,0
2.01801E+12,529260,182500,1,3,2,1,04/01/2018,5,1,1,6,20,3,4,2,2,0,0,1,2,2,0,0
2.01801E+12,538190,181730,1,3,2,1,04/01/2018,5,1,1,3,40,5,2,2,2,0,0,1,4,2,0,0
2.01801E+12,509450,180160,1,3,2,2,04/01/2018,5,1,1,6,30,0,0,2,2,0,0,1,1,2,0,0
2.01801E+12,525120,190610,1,3,1,1,04/01/2018,5,1,1,6,30,7,4,2,2,0,0,1,4,1,0,0
2.01801E+12,513840,183590,1,3,1,1,04/01/2018,5,1,1,6,30,0,0,2,2,0,0,1,4,1,0,0
2.01801E+12,523530,188030,1,3,2,1,02/01/2018,3,1,1,1,40,1,4,2,2,0,0,4,2,2,0,0
2.01801E+12,532730,168250,1,3,1,1,04/01/2018,5,1,1,6,30,0,0,2,2,0,1,1,2,2,0,0
2.01801E+12,542550,183560,1,1,1,1,04/01/2018,5,1,1,6,30,0,0,2,2,0,0,1,4,1,0,0
2.01801E+12,514320,186420,1,3,1,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,8,1,1,1,0,0
2.01801E+12,522370,182800,1,2,1,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,1,4,2,0,0
2.01801E+12,544390,184250,1,2,1,2,04/01/2018,5,1,1,6,30,3,4,2,2,0,1,4,1,1,0,0
2.01801E+12,549620,183290,1,3,1,1,04/01/2018,5,1,1,3,30,7,2,2,2,-1,-1,1,5,2,0,-1
2.01801E+12,533700,192400,1,2,1,1,01/01/2018,2,1,1,6,30,3,4,2,2,0,0,4,1,2,0,0
2.01801E+12,532590,179490,1,3,2,1,03/01/2018,4,1,1,9,20,-1,2,2,2,-1,-1,1,8,1,-1,0
2.01801E+12,529830,176750,1,3,2,1,04/01/2018,5,1,1,6,30,3,-1,2,2,0,-1,1,5,2,0,0
2.01801E+12,510280,182890,1,3,2,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,4,4,1,0,0
2.01801E+12,534400,196730,1,3,2,1,04/01/2018,5,1,1,9,30,-1,-1,2,2,0,1,1,1,1,0,0
2.01801E+12,534850,183910,1,3,2,1,04/01/2018,5,1,1,6,20,6,2,2,2,0,0,4,1,1,0,0
2.01801E+12,545290,185910,1,3,3,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,1,2,2,0,0
2.01801E+12,534610,191060,1,3,4,1,04/01/2018,5,1,1,6,30,6,4,2,2,0,0,1,1,1,0,0
2.01801E+12,517110,174150,1,1,2,4,04/01/2018,5,1,1,6,30,0,0,2,2,0,0,4,1,1,0,0
2.01801E+12,527550,174720,1,3,2,1,04/01/2018,5,1,1,6,30,6,4,2,2,0,0,4,1,1,0,0
2.01801E+12,527590,171180,1,3,2,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,4,1,1,0,0
2.01801E+12,533690,181640,1,3,2,1,04/01/2018,5,1,1,6,20,8,4,2,2,0,0,4,2,2,0,0
2.01801E+12,541530,168050,1,3,2,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,4,2,2,0,0
2.01801E+12,528600,176830,1,3,2,2,04/01/2018,5,1,1,6,30,6,4,2,2,0,0,4,2,2,0,0
2.01801E+12,524870,184370,1,3,1,1,04/01/2018,5,1,1,6,30,3,4,2,2,0,0,4,5,2,0,0
