constituency_name,region_name,country_name,constituency_type,electorate,valid_votes,invalid_votes,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other
Rotherham,Yorkshire and The Humber,England,Borough,63237,37923,83,10017,21404,1754,3316,0,0,0,0,0,0,0,0,1432
Rother Valley,Yorkshire and The Humber,England,County,75230,49488,107,19939,23821,1155,3704,869,0,0,0,0,0,0,0,0
Rugby,West Midlands,England,County,72175,51336,143,27872,19660,2851,0,953,0,0,0,0,0,0,0,0
"Ruislip, Northwood and Pinner",London,England,Borough,73427,53382,146,30555,16575,3813,1171,1268,0,0,0,0,0,0,0,0
Runnymede and Weybridge,South East,England,County,74888,51609,140,31436,13386,3765,1675,1347,0,0,0,0,0,0,0,0
Rushcliffe,East Midlands,England,County,74738,58311,157,30223,22213,2759,1490,1626,0,0,0,0,0,0,0,0
Rutherglen and Hamilton West,Scotland,Scotland,Borough,80098,50872,57,9941,19101,2158,465,0,18836,0,0,0,0,0,0,371
Rutland and Melton,East Midlands,England,County,78463,57569,141,36169,13065,4711,1869,1755,0,0,0,0,0,0,0,0
Saffron Walden,East,England,County,83072,60911,197,37629,12663,8528,2091,0,0,0,0,0,0,0,0,0
Salford and Eccles,North West,England,Borough,78080,47619,111,12036,31168,1286,2320,809,0,0,0,0,0,0,0,0
Salisbury,South West,England,County,72892,53311,88,30952,13619,5982,1191,1152,0,0,0,0,0,0,0,415
Scarborough and Whitby,Yorkshire and The Humber,England,County,73599,50449,74,24401,20966,1354,1682,915,0,0,0,0,0,0,0,1131
Scunthorpe,Yorkshire and The Humber,England,County,61578,40202,72,17485,20916,554,1247,0,0,0,0,0,0,0,0,0
Sedgefield,North East,England,County,63889,41591,62,16143,22202,797,1763,686,0,0,0,0,0,0,0,0
Sefton Central,North West,England,County,69019,52079,128,17212,32830,1381,0,656,0,0,0,0,0,0,0,0
Selby and Ainsty,Yorkshire and The Humber,England,County,75918,56076,145,32921,19149,2293,1713,0,0,0,0,0,0,0,0,0
Sevenoaks,South East,England,County,71565,51218,146,32644,10727,4280,1894,1673,0,0,0,0,0,0,0,0
"Sheffield, Brightside and Hillsborough",Yorkshire and The Humber,England,Borough,70344,41870,70,9050,28193,1061,2645,737,0,0,0,0,0,0,0,184
Sheffield Central,Yorkshire and The Humber,England,Borough,77560,47877,137,6215,33963,2465,1060,3848,0,0,0,0,0,0,0,326
"Sheffield, Hallam",Yorkshire and The Humber,England,County,73455,57020,89,13561,21881,19756,929,823,0,0,0,0,0,0,0,70
"Sheffield, Heeley",Yorkshire and The Humber,England,Borough,68040,44226,79,12696,26524,2022,1977,943,0,0,0,0,0,0,0,64
Sheffield South East,Yorkshire and The Humber,England,Borough,68945,43596,90,13722,25520,1432,2820,0,0,0,0,0,0,0,0,102
Sherwood,East Midlands,England,County,76196,53364,98,27492,22294,1113,1801,664,0,0,0,0,0,0,0,0
Shipley,Yorkshire and The Humber,England,County,73133,53395,138,27417,22736,2202,0,0,0,0,0,0,0,0,0,1040
Shrewsbury and Atcham,West Midlands,England,County,79043,58203,109,29073,22446,4254,1363,1067,0,0,0,0,0,0,0,0
Sittingbourne and Sheppey,South East,England,County,81717,51389,77,30911,15700,1392,0,558,0,0,0,0,0,0,0,2828
Skipton and Ripon,Yorkshire and The Humber,England,County,78104,58138,186,36425,16440,0,0,3734,0,0,0,0,0,0,0,1539
Sleaford and North Hykeham,East Midlands,England,County,90929,65797,107,42245,17008,2722,1954,968,0,0,0,0,0,0,0,900
Slough,South East,England,Borough,83272,54295,168,17172,34170,1308,1228,0,0,0,0,0,0,0,0,417
Solihull,West Midlands,England,Borough,77789,56748,120,32985,12414,8901,1291,1157,0,0,0,0,0,0,0,0
Somerton and Frome,South West,England,County,84437,63892,104,36231,10998,13325,0,2347,0,0,0,0,0,0,0,991
"Southampton, Itchen",South East,England,Borough,71722,46783,92,21773,21742,1421,1122,725,0,0,0,0,0,0,0,0
"Southampton, Test",South East,England,Borough,70199,46903,119,16006,27509,1892,0,0,0,0,0,0,0,0,0,1496
South Antrim,Northern Ireland,Northern Ireland,County,68244,43170,122,0,0,0,0,0,0,0,16508,7797,2362,13300,3203,0
South Basildon and East Thurrock,East,England,County,73537,47120,75,26811,15321,732,3193,680,0,0,0,0,0,0,0,383
South Cambridgeshire,East,England,County,85257,64924,166,33631,17679,12102,0,1512,0,0,0,0,0,0,0,0
South Derbyshire,East Midlands,England,County,76380,52631,120,30907,18937,1870,0,917,0,0,0,0,0,0,0,0
South Dorset,South West,England,County,75553,51906,103,29135,17440,3053,0,2278,0,0,0,0,0,0,0,0
South Down,Northern Ireland,Northern Ireland,County,75685,50893,189,0,0,0,0,0,0,0,8867,20328,17882,2002,1814,0
South East Cambridgeshire,East,England,County,86121,63002,226,33601,17443,11958,0,0,0,0,0,0,0,0,0,0
South East Cornwall,South West,England,County,71880,53224,133,29493,12050,10346,0,1335,0,0,0,0,0,0,0,0
Southend West,East,England,Borough,67677,47191,101,26046,16046,2110,1666,831,0,0,0,0,0,0,0,492
South Holland and The Deepings,East Midlands,England,County,76374,50315,84,35179,10282,1433,2185,894,0,0,0,0,0,0,0,342
South Leicestershire,East Midlands,England,County,78985,56689,112,34795,16164,2403,2235,1092,0,0,0,0,0,0,0,0
South Norfolk,East,England,County,83055,61111,182,35580,18902,5074,0,1555,0,0,0,0,0,0,0,0
South Northamptonshire,East Midlands,England,County,85759,64998,125,40599,17759,3623,1363,1357,0,0,0,0,0,0,0,297
Southport,North West,England,Borough,69400,47956,63,18541,15627,12661,1127,0,0,0,0,0,0,0,0,0
South Ribble,North West,England,County,75752,54834,92,28980,21559,2073,1387,494,0,0,0,0,0,0,0,341
South Shields,North East,England,Borough,63433,40772,77,10570,25078,681,3006,1437,0,0,0,0,0,0,0,0
South Staffordshire,West Midlands,England,County,73441,51109,187,35656,12923,1348,0,1182,0,0,0,0,0,0,0,0
South Suffolk,East,England,County,75485,54235,116,32829,15080,3154,1449,1723,0,0,0,0,0,0,0,0
South Swindon,South West,England,County,72372,51271,87,24809,22345,2079,1291,747,0,0,0,0,0,0,0,0
South Thanet,South East,England,County,72334,49753,92,25262,18875,1514,2997,809,0,0,0,0,0,0,0,296
South West Bedfordshire,East,England,County,79658,55635,163,32961,18793,2630,0,950,0,0,0,0,0,0,0,301
South West Devon,South West,England,County,71260,52857,97,31634,15818,2732,1540,1133,0,0,0,0,0,0,0,0
South West Hertfordshire,East,England,County,81087,60653,138,35128,15578,7078,1293,1576,0,0,0,0,0,0,0,0
South West Norfolk,East,England,County,77874,52416,154,32894,14582,2365,2575,0,0,0,0,0,0,0,0,0
South West Surrey,South East,England,County,78042,60432,151,33683,7606,5967,1083,0,0,0,0,0,0,0,0,12093
South West Wiltshire,South West,England,County,76898,54751,146,32841,14515,5360,0,1445,0,0,0,0,0,0,0,590
Spelthorne,South East,England,Borough,72641,50115,106,28692,15267,2755,2296,1105,0,0,0,0,0,0,0,0
Stafford,West Midlands,England,County,68445,51924,122,28424,20695,1540,0,1265,0,0,0,0,0,0,0,0
Staffordshire Moorlands,West Midlands,England,County,63260,44655,84,25963,15133,1494,0,541,0,0,0,0,0,0,0,1524
St Albans,East,England,County,72811,56998,142,24571,13137,18462,0,828,0,0,0,0,0,0,0,0
Stalybridge and Hyde,North West,England,County,71409,42457,127,16193,24277,996,0,991,0,0,0,0,0,0,0,0
St Austell and Newquay,South West,England,County,78609,54212,231,26856,15714,11642,0,0,0,0,0,0,0,0,0,0
Stevenage,East,England,County,70765,49327,141,24798,21412,2032,0,1085,0,0,0,0,0,0,0,0
St Helens North,North West,England,Borough,76088,50222,90,13606,32012,1287,2097,1220,0,0,0,0,0,0,0,0
St Helens South and Whiston,North West,England,Borough,79036,52886,79,11536,35879,2101,1953,1417,0,0,0,0,0,0,0,0
Stirling,Scotland,Scotland,County,66415,49356,72,18291,10902,1683,0,0,18143,0,0,0,0,0,0,337
St Ives,South West,England,County,67145,51226,109,22120,7298,21808,0,0,0,0,0,0,0,0,0,0
Stockport,North West,England,Borough,64236,41544,97,11805,26282,1778,1088,591,0,0,0,0,0,0,0,0
Stockton North,North East,England,Borough,66285,42731,74,15589,24304,646,1834,358,0,0,0,0,0,0,0,0
Stockton South,North East,England,Borough,75625,53824,82,25214,26102,951,1186,371,0,0,0,0,0,0,0,0
Stoke-On-Trent Central,West Midlands,England,Borough,56915,33145,64,13186,17083,680,1608,378,0,0,0,0,0,0,0,210
Stoke-On-Trent North,West Midlands,England,Borough,71558,41786,123,18913,21272,916,0,685,0,0,0,0,0,0,0,0
Stoke-On-Trent South,West Midlands,England,Borough,66057,41690,101,20451,19788,808,0,643,0,0,0,0,0,0,0,0
Stone,West Midlands,England,County,67824,50032,99,31614,14119,2222,1370,707,0,0,0,0,0,0,0,0
Stourbridge,West Midlands,England,Borough,70215,47135,72,25706,18052,1083,1801,493,0,0,0,0,0,0,0,0
Strangford,Northern Ireland,Northern Ireland,County,64327,38749,77,507,0,0,0,607,0,0,24036,1083,2404,4419,5693,0
Stratford-On-Avon,West Midlands,England,County,72572,53532,152,33657,11699,6357,0,1345,0,0,0,0,0,0,0,474
Streatham,London,England,Borough,78649,55795,161,11927,38212,3611,349,1696,0,0,0,0,0,0,0,0
Stretford and Urmston,North West,England,Borough,71833,50191,95,13814,33519,1001,1094,641,0,0,0,0,0,0,0,122
Stroud,South West,England,County,82839,63816,97,29307,29994,2053,1039,1423,0,0,0,0,0,0,0,0
Suffolk Coastal,East,England,County,79366,58074,236,33713,17701,4048,0,1802,0,0,0,0,0,0,0,810
Sunderland Central,North East,England,Borough,72728,45111,76,15059,25056,1777,2209,705,0,0,0,0,0,0,0,305
Surrey Heath,South East,England,County,80764,57822,226,37118,12175,6271,0,2258,0,0,0,0,0,0,0,0
Sutton and Cheam,London,England,Borough,70404,51970,123,26567,10663,13869,0,871,0,0,0,0,0,0,0,0
Sutton Coldfield,West Midlands,England,Borough,75652,52858,141,32224,16885,2302,0,965,0,0,0,0,0,0,0,482
Swansea East,Wales,Wales,Borough,58521,35159,56,9139,22307,625,1040,359,0,1689,0,0,0,0,0,0
Swansea West,Wales,Wales,Borough,56892,37282,83,11680,22278,1269,0,434,0,1529,0,0,0,0,0,92
Tamworth,West Midlands,England,County,71308,47110,180,28748,16401,1961,0,0,0,0,0,0,0,0,0,0
Tatton,North West,England,County,67874,49116,104,28764,13977,4431,0,1024,0,0,0,0,0,0,0,920
Taunton Deane,South West,England,County,85457,63053,99,33333,9689,17446,1434,1151,0,0,0,0,0,0,0,0
Telford,West Midlands,England,Borough,68106,44686,146,21777,21057,954,0,898,0,0,0,0,0,0,0,0
Tewkesbury,South West,England,County,81440,59084,115,35448,12874,7981,1205,1576,0,0,0,0,0,0,0,0
